ticketid,use_date,start_time,end_time,assignment,comments,repname,repsign,vendorsign,sign_date,equipmentid_id,incidentid_id,vendorid_id
13,2018-08-20 22:27:51,2018-12-04 05:29:45,2018-04-21 12:05:46,cut brush,great,Hillary Trayte,Elsi Stainburn,Tandi Hannon,2019-03-23 18:46:14,75,52,80
82,2018-12-09 12:05:27,2019-01-08 02:11:35,2018-04-30 23:37:37,cut brush,exceptional,Willette Bellini,Dallas Cardus,Kyle Brixey,2018-12-13 19:30:52,91,3,61
77,2018-04-21 15:04:01,2018-11-12 14:53:43,2018-12-28 12:27:21,water,exceptional,Willamina Latch,Ulrika Corringham,Wayne Begent,2018-11-17 04:52:33,12,1,52
42,2019-01-29 16:39:22,2018-12-20 03:21:41,2018-10-15 01:14:44,monitor crews,exceptional,Sabina Sly,Park Peris,Leanora Paolotto,2018-06-22 20:26:32,19,45,10
33,2018-07-09 17:18:30,2018-11-28 00:45:22,2018-09-15 19:44:03,water,unacceptable,Jorge Brehaut,Jennica Capenor,Ashia Bruniges,2019-03-12 13:59:55,51,75,3
78,2018-09-05 23:44:52,2018-11-10 05:53:31,2019-01-14 20:21:17,cut brush,exceptional,Gan Olford,Harri Keppin,Tabby Stode,2018-08-07 18:07:41,9,27,81
70,2019-03-01 03:56:15,2018-10-22 09:37:21,2018-09-16 14:40:59,water,poor,Owen Reasce,Ashla Barabich,Ruthi Berends,2018-10-16 13:44:53,17,1,50
44,2019-03-14 07:11:54,2019-02-04 13:03:34,2018-05-22 04:33:06,monitor crews,unacceptable,Obadiah Passion,Constancia Friend,Tabb Minear,2019-01-03 05:57:57,99,34,1
59,2018-11-21 05:00:29,2018-06-18 12:09:58,2018-08-17 09:25:21,cut brush,poor,Joell Ligerton,Winona Guichard,Alma McCuish,2019-03-31 09:31:55,45,8,52
58,2018-11-27 20:26:48,2018-05-12 07:42:02,2018-08-08 01:39:00,cut brush,exceptional,Temp Croft,Brant Coggell,Elset Durrant,2019-03-17 16:17:15,63,66,40
80,2019-03-19 15:50:07,2018-12-17 00:06:43,2018-10-27 04:18:36,water,unacceptable,Vivianna Bunclark,Wallache Pickrill,Reba Gladstone,2018-11-12 21:19:31,2,4,86
69,2018-06-02 15:35:41,2019-02-12 06:25:38,2018-06-29 07:20:45,monitor crews,unacceptable,Killie Carter,Jeana Dansken,Brinna Barth,2019-03-05 01:53:29,87,92,47
83,2018-09-19 12:06:07,2018-07-24 02:37:20,2019-03-01 22:16:06,cut brush,poor,Fitz Weale,Glori Gasgarth,Sheree Fairey,2018-04-19 13:20:51,2,89,12
29,2018-05-12 17:12:38,2018-06-20 21:50:34,2019-03-18 13:06:19,water,great,Marney Furtado,Stinky Olford,Nowell Youthead,2019-02-09 13:45:14,11,43,56
22,2018-09-07 21:58:46,2018-07-17 21:06:13,2018-06-02 21:52:41,monitor crews,exceptional,Zebadiah Killough,Robinet Quilligan,Mellisa Bowmen,2019-01-12 06:01:23,84,79,44
73,2018-07-27 12:15:14,2018-09-05 14:39:52,2018-04-11 00:17:35,monitor crews,poor,Armin Keetley,Zahara Byles,Violetta Haack,2018-11-19 16:10:27,46,89,10
8,2018-10-22 23:56:42,2018-06-27 05:56:20,2018-05-24 12:40:53,monitor crews,great,Gusella Greep,Harvey Holme,Elsbeth Chipman,2018-07-02 01:56:47,55,44,99
7,2018-05-03 14:30:11,2018-12-08 17:15:02,2019-02-01 19:46:56,cut brush,unacceptable,Phyllida Deare,Wallis Jaggers,Nev Pendrich,2019-01-16 01:12:27,90,40,47
97,2019-03-23 21:04:27,2018-06-30 07:23:47,2018-04-27 09:31:33,monitor crews,poor,Olivier Daly,Julio Yaneev,Charlotta Kenworthy,2019-03-20 08:41:23,47,100,78
78,2018-04-20 04:22:26,2018-06-27 09:44:05,2018-09-02 21:44:18,monitor crews,exceptional,Norina Purtell,Dallon Dowbakin,Rowe Davidek,2018-10-25 01:08:23,39,96,39
20,2019-02-24 04:13:11,2018-12-19 06:36:13,2019-01-05 14:39:00,cut brush,exceptional,Jean Blasio,Maighdiln Filipov,Hank Cronin,2018-10-01 03:46:51,37,87,81
16,2018-12-16 18:46:32,2018-09-11 14:39:34,2019-01-15 12:12:47,water,great,Fidelity Santorini,Rycca Jagels,Cleve Wearn,2018-07-03 15:32:54,55,41,27
35,2019-01-27 14:33:39,2018-11-08 15:19:05,2018-10-11 22:46:49,cut brush,great,Carver Chat,Babbie Dilley,Aurore Keeri,2018-10-24 05:44:57,19,37,80
100,2018-05-02 12:31:05,2018-09-18 06:22:55,2018-10-14 13:36:33,water,poor,Valry Caro,Dorisa Waylett,Tyson Livett,2018-05-23 13:58:06,16,61,11
79,2018-07-10 23:47:49,2018-12-06 23:18:34,2018-06-14 01:18:39,water,exceptional,Axe Godridge,Elset Jedrachowicz,Eba Lepper,2019-01-26 05:25:11,56,91,66
11,2019-03-06 05:31:03,2018-12-03 03:13:25,2018-12-19 06:49:35,cut brush,unacceptable,Annalee Anthill,Nelly Harrington,Micky Setter,2019-04-05 10:32:07,5,25,57
22,2018-05-07 00:08:18,2018-12-17 09:57:42,2018-04-12 20:37:59,water,poor,Winonah Moverley,Berky Clampett,Omar Ryle,2019-03-28 17:08:06,4,52,4
29,2018-08-21 22:06:15,2018-12-20 02:31:52,2019-02-09 00:47:05,cut brush,poor,Pavel Maceur,Sanders Hundal,Cal Brognot,2018-04-22 12:27:53,43,86,80
44,2019-03-04 19:34:34,2018-06-27 06:13:43,2018-06-10 11:37:14,water,unacceptable,Ky Carabet,Joaquin Wilacot,Tammie Wake,2018-12-21 19:02:57,53,11,69
100,2018-05-14 15:20:14,2018-04-28 04:35:17,2019-04-06 13:59:11,water,great,Biron Arnot,Gratiana Mincher,Barnie Truter,2018-10-19 20:10:57,78,36,59
54,2018-08-27 04:19:14,2018-08-07 00:44:07,2018-05-23 05:41:53,monitor crews,unacceptable,Cybill Swinnerton,Vinny Clogg,Fanny Saffill,2018-11-20 20:36:41,18,36,85
7,2019-01-28 00:47:35,2018-10-12 15:00:56,2018-08-22 23:31:05,monitor crews,great,Cordie Gonnin,Tynan Skellorne,Enos Antoniewski,2018-10-30 14:20:23,14,33,51
64,2018-08-13 15:07:53,2018-04-18 14:03:29,2019-01-16 04:56:01,monitor crews,unacceptable,Selene Emmines,Jobye Weond,Josi Bidgod,2018-07-13 20:09:57,18,28,21
19,2019-01-16 08:41:28,2018-11-25 05:00:05,2018-11-23 09:27:40,cut brush,great,Waiter Peacham,Bernadina Kobieriecki,Juliette Dionsetto,2019-03-30 05:14:07,12,91,34
36,2018-07-16 07:33:20,2018-08-19 00:29:30,2018-12-28 08:37:40,monitor crews,unacceptable,Heath Bretton,Baron Fallow,Torie MacCostye,2019-03-12 21:05:41,88,84,52
41,2019-04-03 22:13:42,2018-12-20 22:26:15,2018-05-16 03:00:00,water,unacceptable,Kirsten Coggon,Idaline Readhead,Stephine Singleton,2018-07-25 09:47:08,28,83,77
40,2018-04-13 15:38:27,2018-06-27 21:38:55,2018-11-26 09:13:46,cut brush,unacceptable,Tuck Larcher,Arny Goadsby,Meyer Guslon,2019-01-28 08:20:09,5,20,70
61,2018-11-22 07:11:18,2019-01-10 18:58:53,2019-01-25 18:51:13,water,poor,Drusy Leyburn,Sibyl Bisset,Angelia Joyner,2018-05-23 00:50:40,79,94,10
12,2018-04-26 18:36:52,2018-05-26 22:27:33,2018-08-30 01:01:43,cut brush,exceptional,Peri Lamey,Fawn Yeulet,Immanuel Knagges,2019-02-08 07:26:02,34,6,51
28,2018-11-21 03:18:41,2018-09-04 04:32:26,2018-12-19 18:53:09,cut brush,exceptional,Berny Gai,Rogerio Nuton,Merrili Eslinger,2019-04-08 03:22:55,86,85,89
46,2018-11-11 12:47:08,2019-01-30 19:55:49,2018-10-16 11:47:35,monitor crews,unacceptable,Persis Lago,Haslett Cornilleau,Rey Kinze,2018-11-13 10:39:09,68,73,23
18,2019-03-15 11:16:42,2018-12-09 04:40:16,2018-09-20 20:13:57,water,exceptional,Violette Halso,Rosemonde Stannus,Jerrie Connachan,2018-11-26 06:25:30,43,85,35
2,2019-03-06 14:57:26,2018-12-23 23:27:37,2018-05-12 14:31:53,water,unacceptable,Fred Prier,Bartholomeo Mainz,Guinevere Gerran,2018-06-27 22:07:38,35,2,4
1,2018-08-25 10:53:57,2018-11-30 06:53:08,2018-12-14 07:03:36,water,great,Amaleta Lakenden,Cobbie Chilton,Tim Pettwood,2019-04-02 22:07:31,87,23,65
28,2018-09-05 08:07:09,2018-10-17 13:01:38,2018-04-19 22:06:52,cut brush,exceptional,Pearle Mathews,Rolf Mully,Janeen Gilyott,2019-02-27 11:44:21,83,93,50
34,2018-04-26 05:26:24,2019-01-23 07:34:04,2018-09-25 20:30:06,water,unacceptable,Katheryn Kopta,Arley Pashenkov,Haze Rannie,2018-09-19 15:46:32,19,42,55
36,2018-07-16 18:20:11,2018-04-15 18:59:21,2018-08-21 01:01:11,cut brush,exceptional,Cletis Hunnicutt,Alix Rosendorf,Raffaello Burns,2019-04-09 17:13:55,91,82,96
31,2018-08-20 11:15:24,2019-04-03 05:53:41,2018-10-23 13:12:52,monitor crews,great,Way Isacq,Ramsay Snalum,Curran Hurrell,2018-05-20 09:13:56,17,96,100
58,2018-11-09 04:11:10,2018-08-27 09:22:33,2018-09-11 12:22:31,water,poor,Dunc Akehurst,Astra Batson,Eleanore Cloke,2018-05-06 21:22:54,79,10,62
90,2019-03-17 17:06:35,2018-11-18 14:18:16,2018-11-19 00:10:20,monitor crews,great,Solly Kiljan,Hakeem Grigg,Kylynn Adcock,2018-11-10 05:25:02,4,51,49
63,2018-08-04 16:11:01,2019-01-09 18:30:12,2018-07-05 02:13:59,monitor crews,exceptional,Winston Isacsson,Cyrill Greenshiels,Eustace Cabena,2018-05-27 21:07:39,55,6,72
48,2018-06-07 00:57:16,2018-07-22 13:38:52,2019-02-24 21:23:40,cut brush,great,Arie Westhead,Philippe Franchi,Allianora Jedrychowski,2018-09-09 07:40:42,1,34,8
51,2018-05-07 21:50:41,2019-02-12 10:39:24,2018-10-08 08:52:17,cut brush,exceptional,Kath McCloud,Yorker Caygill,Lawry Morforth,2018-10-05 02:40:36,85,93,87
28,2019-03-03 06:12:08,2018-06-29 20:52:28,2019-01-19 20:24:36,cut brush,great,Noah Rottger,Helena Weaver,Fransisco Antham,2018-05-15 21:14:32,97,13,44
70,2019-01-24 03:12:13,2019-04-08 14:51:37,2018-08-12 03:09:46,cut brush,unacceptable,Willabella Miall,Wanids Carthew,Benita Barwise,2018-09-09 13:06:32,92,9,20
78,2019-01-03 07:05:06,2018-10-25 21:38:36,2018-10-23 06:54:32,cut brush,unacceptable,Maury Tarbox,Ramona Cornew,Sid Maberley,2018-04-20 17:07:51,45,29,67
18,2018-06-06 05:15:18,2018-10-02 22:37:37,2018-11-24 06:24:24,monitor crews,unacceptable,Bond Masser,Edgardo Gallehawk,Filia Schuricke,2018-05-16 17:40:59,79,17,49
3,2018-06-06 14:48:22,2019-02-24 03:11:53,2019-04-04 09:39:44,water,great,Faina Absolon,Randee Abby,Bryna Ruzic,2018-05-04 09:13:28,31,85,16
91,2018-10-25 16:48:30,2019-01-25 05:10:17,2018-12-09 03:17:55,water,exceptional,Maure Ambrogi,Clyve Ames,Drud Ginsie,2018-11-25 05:02:24,54,19,40
19,2018-08-22 21:08:37,2019-01-10 07:18:38,2018-12-25 00:34:32,water,unacceptable,Ardis Layson,Mathian Hele,Conrade Stubbe,2018-11-11 11:29:30,74,10,3
90,2018-11-12 23:40:47,2018-11-01 08:12:35,2018-04-22 18:10:30,cut brush,great,Avictor Denman,Tedra Dewan,Enrico McIlraith,2018-09-22 19:45:37,45,29,39
91,2018-10-03 13:58:30,2018-11-22 17:07:53,2019-04-06 04:27:20,monitor crews,exceptional,Milt Hylton,Bettina Juara,Keir Hazard,2018-12-28 00:24:24,16,68,56
1,2018-07-18 01:32:37,2018-11-12 15:23:50,2019-03-08 16:53:18,monitor crews,exceptional,Otha Coonihan,Sergei Vazquez,Carolus Blundel,2018-09-13 12:33:02,42,67,36
7,2018-06-13 12:42:48,2018-04-20 18:12:00,2018-09-23 10:39:32,water,great,Pincas Carwithen,Garrek Mulcahy,Hyacintha Pollins,2019-01-08 00:59:21,11,20,58
51,2019-03-05 13:58:32,2018-09-12 12:08:48,2019-04-02 06:38:38,cut brush,unacceptable,Abrahan Brahan,Marianna Heine,Dora Sallery,2019-02-21 12:31:15,13,75,62
19,2018-07-31 23:49:55,2019-03-21 14:20:18,2018-06-13 22:41:20,water,unacceptable,Lorinda Cain,Ky Hodges,Dianne Pockett,2019-01-11 23:47:14,92,94,76
80,2019-02-22 19:58:51,2018-06-06 01:33:30,2018-06-23 17:55:35,water,unacceptable,Wenda Wodham,Cobby Schade,Christean Abramski,2018-06-29 19:42:59,60,96,28
33,2018-08-25 15:24:02,2019-01-11 21:03:04,2019-02-01 18:37:16,cut brush,unacceptable,Kearney Carleton,Kissiah Lefeaver,Preston Connew,2019-01-01 19:17:58,95,94,66
5,2019-03-13 16:52:29,2019-02-18 13:00:40,2019-04-03 09:14:05,cut brush,great,Dedie Oki,Johanna Evason,Cecilius Brozsset,2018-05-14 03:13:38,53,94,6
9,2019-03-10 12:17:34,2018-07-25 09:45:41,2018-11-20 14:24:08,monitor crews,exceptional,Brandtr Housiaux,Emanuel Dyble,Andriana Yellop,2019-04-08 22:43:30,58,80,52
70,2019-01-29 19:01:04,2018-09-04 23:30:27,2018-04-19 23:28:00,monitor crews,poor,Mellisent Clorley,Winnifred Denziloe,Eden Cornillot,2018-08-10 14:19:39,36,41,85
38,2019-02-16 21:51:05,2018-12-22 10:15:13,2018-12-19 13:36:07,cut brush,poor,Netty Fosdike,Darelle Sandland,Giselbert Drew,2019-01-20 01:15:16,33,66,18
61,2018-09-28 12:52:04,2018-05-17 12:30:34,2019-02-05 13:59:43,cut brush,exceptional,Merrily Baudinot,Oren Craggs,Araldo Zoephel,2018-11-16 09:46:34,62,73,23
59,2019-01-22 04:12:52,2018-09-02 09:18:37,2019-03-09 04:27:32,cut brush,unacceptable,Gerta Chappel,Jania Pillington,Conn Back,2019-02-18 17:03:02,5,55,33
14,2018-06-01 12:44:51,2019-02-17 18:26:36,2018-04-11 16:50:16,water,unacceptable,Maximilianus Lovering,Britteny Reisen,Kendre Mulleary,2018-11-19 13:20:16,99,18,88
79,2018-10-22 12:23:26,2018-04-13 13:21:16,2019-03-26 00:37:29,cut brush,unacceptable,Hart Fulk,Ted Balogun,Warner MacGinney,2018-08-01 21:37:03,84,91,12
98,2019-02-16 02:20:56,2018-09-08 07:07:18,2018-07-16 07:00:55,monitor crews,exceptional,Dare Swinn,Rutledge Breacher,Dannye Follows,2018-09-15 05:53:59,86,82,29
80,2018-04-25 02:25:50,2019-01-07 23:14:35,2018-11-04 16:08:00,monitor crews,poor,Caroljean Czapla,Izak Vouls,Colby Stone,2019-03-09 10:15:26,54,89,38
25,2018-05-21 00:15:59,2018-05-05 20:07:04,2018-11-08 06:25:41,monitor crews,great,Lynea Rigge,Anton Sheehan,Ambur Skyram,2018-09-16 11:41:38,36,72,36
48,2018-11-18 05:33:30,2018-08-07 06:16:45,2018-10-03 04:44:41,water,unacceptable,Chrissie Chree,Brittni Dawks,Hildagarde Baudts,2018-09-16 03:59:08,49,9,68
90,2018-07-21 23:06:01,2018-09-26 08:52:31,2018-11-28 07:50:23,water,exceptional,Ambrose O'Neary,Jessy Rosenfelder,Vassily Norster,2018-04-20 03:40:39,4,10,70
99,2018-04-27 23:59:52,2018-10-16 17:04:11,2018-05-18 08:08:49,monitor crews,unacceptable,Roana Chardin,Alvira Oguz,Gareth Roxbrough,2019-02-16 00:06:16,30,32,97
16,2018-07-17 20:07:08,2018-06-04 17:52:29,2018-08-26 03:50:51,cut brush,exceptional,Corry Reilly,Loella Marjoram,Inna Patershall,2019-03-23 23:08:38,83,62,57
38,2018-09-24 18:12:39,2018-06-28 12:17:24,2019-01-21 11:31:05,monitor crews,great,Orson Ormistone,Vincenz Faichnie,Bonny Newart,2018-11-13 12:27:42,99,79,31
50,2018-07-31 18:36:41,2018-11-25 16:33:53,2018-04-18 20:30:01,monitor crews,great,Gerick Helleker,Massimo Labadini,Sybil Mousley,2019-03-12 14:41:57,41,54,2
30,2018-12-04 16:14:09,2018-09-06 12:19:56,2019-02-19 17:45:34,water,exceptional,Gusty Vicarey,Merrill Dennidge,Ruthy Vanyushin,2018-09-24 11:53:30,11,20,71
23,2018-11-23 00:29:15,2018-08-20 23:34:22,2019-01-27 19:37:35,cut brush,great,Phillie Peye,Dario Curnucke,Rurik Canaan,2018-10-06 16:06:38,97,16,56
72,2018-06-13 02:28:55,2018-11-21 16:43:30,2018-10-11 11:01:51,monitor crews,great,Denver Basso,Matthieu Plews,Jerome Dodgson,2018-05-01 18:47:02,74,37,49
45,2019-01-08 12:45:21,2018-10-14 15:10:19,2018-09-02 05:36:42,monitor crews,great,Rubie Fawcett,Idalina McCarrell,Luke Coryndon,2019-03-13 17:16:48,83,26,67
59,2018-11-02 01:09:10,2019-01-27 00:18:40,2019-01-21 01:07:56,cut brush,unacceptable,Thor Richmond,Marthena Everix,Caprice Dobbing,2018-05-05 20:07:30,48,81,50
9,2019-01-05 15:34:47,2019-01-25 22:22:11,2018-07-17 05:43:12,monitor crews,exceptional,Ami Jantot,Lorie Lumsdaine,Marilyn Millett,2019-03-01 07:59:51,76,35,14
61,2018-10-14 00:27:05,2019-03-29 01:11:51,2018-06-05 08:44:49,cut brush,great,Effie Aggio,Paton Pieche,Salomo Adamthwaite,2018-04-15 11:33:37,51,6,65
57,2018-11-02 00:10:49,2018-09-30 13:27:33,2018-11-30 07:41:51,cut brush,great,Kevan Likly,Merilee D'Alessio,Robinetta Rosencwaig,2019-01-21 18:41:01,85,34,1
36,2018-08-21 12:17:14,2018-06-24 11:49:27,2018-08-10 07:32:55,monitor crews,exceptional,Martelle Soper,Marcille Rennox,Ralf Hutsby,2019-02-20 01:26:31,92,82,20
54,2019-02-19 20:30:02,2018-09-04 13:11:47,2018-07-01 21:03:59,cut brush,unacceptable,Stephannie McMeeking,Meg Snassell,Desiree McGiffin,2018-05-20 03:27:01,58,13,68
27,2018-04-11 13:14:29,2018-06-14 04:09:59,2018-05-02 12:53:07,monitor crews,poor,Tabbitha Greetland,Kahaleel Agget,Ogdan Larham,2018-10-24 13:06:26,86,66,93
1,2018-10-31 09:10:23,2018-04-28 00:01:37,2019-02-13 22:42:29,cut brush,unacceptable,Feliza Balharrie,Ethelda Caplen,Britni Kyteley,2018-11-13 05:41:58,35,30,8
59,2018-09-08 05:35:35,2018-08-20 06:40:24,2019-03-24 18:20:37,water,exceptional,Allianora Hanssmann,Redford Wasiela,Marlowe Axten,2018-11-17 12:42:06,77,34,28
39,2018-04-15 09:08:57,2019-02-06 07:42:08,2019-02-16 19:33:43,monitor crews,unacceptable,Caresse Attree,Verene Dukesbury,Nolan Halso,2018-11-26 07:57:17,85,71,29
70,2018-09-14 14:31:33,2018-08-15 10:10:02,2019-03-29 23:58:15,monitor crews,unacceptable,Tracy Golightly,Adey Wegenen,Kira Blankau,2018-04-20 19:41:39,71,36,70
94,2019-03-14 20:56:38,2018-08-07 10:58:23,2018-10-11 04:09:55,cut brush,poor,Leonelle Casier,Marcia Bedford,Alice Schriren,2018-08-19 20:26:06,88,9,86
35,2018-12-30 16:13:15,2019-03-25 02:20:46,2018-11-12 12:47:05,monitor crews,poor,Anthea Romeuf,Annelise Teece,Joli McGarrell,2019-02-12 12:42:51,45,37,61
80,2018-06-30 04:48:52,2018-07-04 22:17:51,2018-11-02 15:58:14,cut brush,poor,Corty Kirman,Zoe Eade,Rochelle Gergolet,2018-09-07 14:34:28,84,38,55
79,2019-03-11 13:52:10,2018-11-20 18:00:59,2019-02-15 04:31:51,water,exceptional,Sherwood Milliere,Zara Biesty,Mair Liddicoat,2019-02-03 05:54:36,6,17,13
12,2018-07-08 00:40:17,2018-05-12 21:59:20,2018-05-23 11:10:29,monitor crews,poor,Tabatha Drayn,Karil Richichi,Lillis Chitty,2018-04-30 08:57:19,13,56,18
93,2018-05-10 18:19:43,2018-11-27 02:21:11,2018-05-26 17:34:12,cut brush,great,Rowen Grishukhin,Erin Skittreal,Tod MacKeever,2018-12-16 04:11:16,64,29,5
3,2018-06-18 20:12:49,2018-08-31 15:29:36,2018-05-01 03:44:04,water,great,Lothaire Rosenblath,Hector Wild,Norene Spyvye,2019-02-21 11:44:05,27,14,61
46,2018-10-24 04:53:38,2018-09-28 07:51:21,2018-10-29 05:16:55,monitor crews,unacceptable,Giorgio Butteris,Evy Kuhnert,Fanya Fowgies,2018-10-02 06:56:38,68,79,26
70,2018-05-11 09:22:08,2019-03-12 12:54:54,2018-11-01 17:29:24,water,unacceptable,Pepito Jaspar,Rosina Jantzen,Al Wippermann,2018-11-19 19:26:32,5,81,22
31,2018-08-26 07:52:55,2018-07-23 06:04:13,2018-05-10 09:52:22,monitor crews,unacceptable,Justin McLellan,Currie Drabble,Thia Jennaroy,2019-02-13 09:40:38,27,47,3
4,2018-11-08 03:50:07,2019-03-20 07:53:02,2018-09-20 21:59:29,monitor crews,poor,Elias Farryn,Rubetta Rihanek,Arabel Saipy,2019-02-14 08:10:31,4,98,83
96,2019-02-28 21:03:38,2018-09-27 11:26:15,2018-07-29 03:36:50,water,great,Cyndi Lauritsen,Clevey Jime,Kylen Shirley,2018-11-07 19:03:46,26,62,64
79,2019-02-18 01:16:05,2018-10-15 00:59:48,2018-04-24 18:20:47,cut brush,unacceptable,Cesya Bridgement,Fulton Possa,Clemmie Blase,2018-07-03 06:50:36,46,3,49
92,2018-10-29 16:45:57,2018-08-03 05:05:55,2019-02-06 23:40:18,cut brush,unacceptable,Marquita Darnbrough,Shandie Reaman,Winnie Dawtrey,2018-06-27 17:33:39,69,14,16
12,2018-11-02 21:13:20,2018-11-16 17:09:33,2018-05-21 17:24:42,water,unacceptable,Hector Rebillard,Lonna Lougheed,Shalom Girardey,2018-10-03 15:09:17,58,75,56
4,2019-03-02 03:49:05,2018-09-06 12:28:58,2018-06-10 22:27:15,monitor crews,poor,Giffer Grutchfield,Barbi Sigsworth,Kayla Glendining,2019-02-04 22:09:27,22,21,37
7,2019-01-16 11:49:53,2018-07-16 06:33:45,2018-06-04 13:50:05,monitor crews,great,Benton Pearde,Olivie Kettlestring,Ilene Hudd,2018-06-27 05:31:19,94,7,46
65,2019-02-19 14:55:32,2018-07-19 02:31:08,2018-11-29 04:01:42,water,great,Carolann Tomasek,Rockwell Annice,Allen Hearty,2018-12-13 13:43:03,100,92,17
17,2018-06-15 04:04:38,2018-05-21 06:15:01,2018-05-16 06:08:55,water,poor,Wesley Bassham,Adriane Moynham,Ivette Virr,2018-05-16 15:45:44,72,17,23
37,2019-04-08 08:00:05,2018-05-05 04:15:37,2018-05-28 22:54:54,cut brush,poor,Jake New,Jake Pill,Troy Andriveaux,2019-03-26 20:44:37,43,13,46
41,2018-09-25 19:16:25,2018-09-13 21:28:28,2018-06-06 14:06:39,monitor crews,poor,Reinald McGillivray,Elisha Lightning,Antonina Boswood,2018-12-01 15:48:20,70,73,22
42,2018-10-07 19:26:11,2018-12-20 23:23:22,2018-07-04 06:32:36,monitor crews,unacceptable,Stace Vasyukhin,Regine Handes,Caye Lightbourn,2018-07-09 01:10:38,62,20,46
38,2018-05-31 12:35:48,2018-08-10 01:21:05,2018-12-31 18:54:43,monitor crews,poor,Frannie Bensen,Casie O'Fairy,Gayle Huddart,2019-01-31 12:26:04,26,33,76
17,2018-06-06 00:52:35,2019-03-01 05:59:01,2019-02-13 14:14:39,water,great,Nicolai Niese,Cristine Stanluck,Doyle Colerick,2018-08-06 08:43:36,81,69,37
99,2018-09-03 07:35:09,2018-04-25 01:21:11,2019-03-30 01:01:10,water,exceptional,Brett Hornung,Aurel Kintzel,Roddie Hanster,2018-08-01 17:06:30,6,33,52
